year,total_people,name_count,share_pct,share_pct_smoothed
1956,84416,5,0.00592304776345717,0.00688344405384485
1958,89242,7,0.00784384034423254,0.00699214451528328
1959,83223,6,0.00720954543816012,0.0086272129534412
1960,92351,10,0.0108282530779309,0.00869598665551709
1962,111799,9,0.0080501614504602,0.00851727006745413
1963,119879,8,0.00667339567397125,0.00788406942436748
1964,111999,10,0.00892865114867097,0.00848096449776829
1965,111779,11,0.00984084667066265,0.00957744293202474
1966,130485,13,0.00996283097674062,0.0112141639598437
1967,137295,19,0.0138388142321279,0.0126314269333851
1968,149014,21,0.0140926355912867,0.0142320199188272
1969,142232,21,0.0147646099330671,0.0147541337054751
1970,155792,24,0.0154051555920715,0.0143674111365033
1971,162382,21,0.0129324678843714,0.0153019825959032
1972,182146,32,0.0175683243112668,0.0174373747246751
1973,201730,44,0.021811331978387,0.0248431954160831
1974,193457,68,0.0351499299585955,0.0299022453482227
1975,192393,63,0.0327454741076858,0.0347047764534068
1976,220879,80,0.0362189252939392,0.0403042260412616
1977,229074,119,0.0519482787221597,0.0483970344263615
1978,256033,146,0.0570238992629856,0.0593926871063448
1979,239864,166,0.0692058833338892,0.0723141535135067
1980,265674,241,0.0907126779436452,0.0905773850863705
1981,266515,298,0.111813593981577,0.11556152040018
1982,287878,415,0.144158289275318,0.145155739658281
1983,308086,553,0.179495335717949,0.167282817112245
1984,299672,534,0.178194826343469,0.178982059855629
1985,285625,512,0.17925601750547,0.187844140475042
1986,299396,617,0.206081577576187,0.205157079652258
1987,288528,664,0.230133643875118,0.228269495305862
1988,297675,740,0.24859326446628,0.2477205015005
1989,285893,756,0.264434596160102,0.272392358614639
1990,258097,785,0.304149215217535,0.304881101253843
1991,214414,742,0.346059492383893,0.330067167261333
1992,197063,670,0.339992794182571,0.347239505729128
1993,190347,677,0.355666230620919,0.357083606198743
1994,190100,714,0.375591793792741,0.391808985491527
1995,175834,781,0.444168932060921,0.430436403518087
1996,163928,773,0.4715484847006,0.455763995327717
1997,134640,608,0.451574569221628,0.470485763859408
1998,105051,513,0.488334237655996,0.46825259826981
1999,78305,364,0.464848987931805,0.478771358403599
2000,49469,239,0.483130849622996,0.473989918777401
