year,total_people,name_count,share_pct,share_pct_smoothed
1932,9257,5,0.0540131792157286,0.0495407127085597
1936,15532,7,0.0450682462013907,0.0464278616157991
1937,17412,7,0.040202159430278,0.0461719022446155
1938,18781,10,0.0532453011021777,0.0458164802071866
1939,18181,8,0.044001980089104,0.0498486832643343
1940,21033,11,0.0522987686017211,0.0436187751923279
1941,26045,9,0.0345555768861586,0.0365235183753476
1942,30815,7,0.0227162096381632,0.0270209668477452
1943,33626,8,0.0237911140189139,0.0329997437182238
1944,34291,18,0.0524919074975941,0.0445671624317008
1945,34832,20,0.0574184657785944,0.0563169878940309
1946,40650,24,0.0590405904059041,0.0480270059229081
1947,47064,13,0.0276219615842257,0.0486976997638142
1948,55527,33,0.0594305473013129,0.0476749155518682
1949,53598,30,0.055972237770066,0.0666625429494504
1950,57930,49,0.0845848437769722,0.0788099459891232
1951,63626,61,0.0958727564203313,0.0835725206853938
1952,69741,49,0.0702599618588779,0.0834750941898542
1953,72367,61,0.0842925642903533,0.0993088969866405
1954,71840,103,0.14337416481069,0.116710407145485
1955,71041,87,0.122464492335412,0.123756302445213
1956,84416,89,0.105430250189538,0.112132243274835
1957,87556,95,0.108501987299557,0.120988401343171
1958,89242,133,0.149032966540418,0.133107560263486
1959,83223,118,0.141787726950482,0.15866127370784
1960,92351,171,0.185163127632619,0.176882448936561
1961,100149,204,0.203696492226582,0.193424856634492
1962,111799,214,0.191414950044276,0.205389224657052
1963,119879,265,0.221056231700298,0.218145875957852
1964,111999,271,0.241966446128983,0.244697757494936
1965,111779,303,0.271070594655526,0.258378710878049
1966,130485,342,0.262099091849638,0.266582983378192
1967,137295,366,0.266579263629411,0.267045325636864
1968,149014,406,0.272457621431543,0.282562513442802
1969,142232,439,0.30865065526745,0.293622309753795
1970,155792,467,0.299758652562391,0.287787891564388
1971,162382,414,0.254954366863322,0.2800660964946
1972,182146,520,0.285485270058085,0.282428473630026
1973,201730,619,0.306845783968671,0.296690545735149
1974,193457,576,0.297740583178691,0.317264115524963
1975,192393,668,0.347205979427526,0.345672142971036
1976,220879,866,0.392069866306892,0.387427752728763
1977,229074,969,0.423007412451871,0.429094011204861
1978,256033,1209,0.472204754855819,0.456271291647339
1979,239864,1136,0.473601707634326,0.494184835695385
1980,265674,1426,0.536748044596009,0.506629850997339
1981,266515,1358,0.509539800761683,0.527194682406994
1982,287878,1541,0.535296201863289,0.521931478769691
1983,308086,1605,0.520958433684101,0.534729013881575
1984,299672,1642,0.547932406097333,0.53707010487244
1985,285625,1549,0.542319474835886,0.554579945561377
1986,299396,1717,0.573487955750912,0.559554805001418
1987,288528,1624,0.562856984417457,0.560971395050104
1988,297675,1627,0.546569244981943,0.552627723194438
1989,285893,1568,0.548456940183915,0.551501920224764
1990,258097,1444,0.559479575508433,0.544673855369611
1991,214414,1128,0.526085050416484,0.542000311031907
1992,197063,1065,0.540436307170803,0.521869954789004
1993,190347,950,0.499088506779723,0.509580338649825
1994,190100,930,0.489216201998948,0.491898741925886
1995,175834,857,0.487391516998988,0.480685321523054
1996,163928,763,0.465448245571226,0.45873030707183
1997,134640,570,0.423351158645276,0.433977357703553
1998,105051,434,0.413132668894156,0.39929704835994
1999,78305,283,0.361407317540387,0.371382202921226
2000,49469,168,0.339606622329135,0.350506969934761
