year,total_people,name_count,share_pct,share_pct_smoothed
1963,119879,6,0.00500504675547844,0.006081013076162
1965,111779,8,0.00715697939684556,0.00609766635369582
1966,130485,8,0.00613097290876346,0.00564324850819668
1967,137295,5,0.00364179321898103,0.00504712973671314
1968,149014,8,0.00536862308239494,0.00440962542741743
1969,142232,6,0.00421845998087631,0.00469341781476404
1970,155792,7,0.00449317038102085,0.00475137219935211
1971,162382,9,0.00554248623615918,0.00426023576360515
1972,182146,5,0.00274505067363544,0.00424964857451853
1973,201730,9,0.00446140881376097,0.00360827821006433
1974,193457,7,0.00361837514279659,0.00442582608645494
1975,192393,10,0.00519769430280728,0.00444781170244876
1976,220879,10,0.0045273656617424,0.00484233389838983
1977,229074,11,0.0048019417306198,0.00480225929156095
1978,256033,13,0.00507747048232064,0.00537765196256315
1979,239864,15,0.00625354367474902,0.00729008214975914
1980,265674,28,0.0105392322922077,0.0129767889072328
1981,266515,59,0.0221375907547418,0.0201554575955899
1982,287878,80,0.0277895497398203,0.0264881158793407
1983,308086,91,0.0295372071434599,0.0326793114791354
1984,299672,122,0.0407111775541258,0.0381207234185242
1985,285625,126,0.0441137855579869,0.0444186012905028
1986,299396,145,0.0484308407593956,0.0492173098649025
1987,288528,159,0.0551073032773249,0.0522053884562367
1988,297675,158,0.0530780213319896,0.0548333665724948
1989,285893,161,0.0563147751081698,0.0560951277785946
1990,258097,152,0.0588925868956245,0.0581461896404177
1991,214414,127,0.0592312069174588,0.0605184284216852
1992,197063,125,0.0634314914519722,0.0631276504603454
1993,190347,127,0.0667202530116051,0.0775764450684307
1994,190100,195,0.102577590741715,0.0952950264805086
1995,175834,205,0.116587235688206,0.115146592135987
1996,163928,207,0.126274949978039,0.117347407105623
1997,134640,147,0.109180035650624,0.114975207899898
1998,105051,115,0.109470638071032,0.125242921932504
1999,78305,123,0.157078092075857,0.151515084407315
2000,49469,93,0.187996523075057,0.172537307575457
