year,total_people,name_count,share_pct,share_pct_smoothed
1930,5396,7,0.129725722757598,0.130956714650445
1931,7565,10,0.132187706543291,0.116111505348685
1932,9257,8,0.0864210867451658,0.125601089009392
1933,9482,15,0.158194473739717,0.135514163652502
1934,9881,16,0.161926930472624,0.17154650992165
1935,11310,22,0.194518125552608,0.181052120572236
1936,15532,29,0.186711305691476,0.18450813341033
1937,17412,30,0.172294968986906,0.187112806288886
1938,18781,38,0.202332144188275,0.178044763666061
1939,18181,29,0.159507177823002,0.182420742957308
1940,21033,39,0.185422906860648,0.175128995400085
1941,26045,47,0.180456901516606,0.178209598086917
1942,30815,52,0.168748985883498,0.156053819164891
1943,33626,40,0.11895557009457,0.141588919629484
1944,34291,47,0.137062202910385,0.13318797915048
1945,34832,50,0.143546164446486,0.147656663657702
1946,40650,66,0.162361623616236,0.139506800225112
1947,47064,53,0.112612612612613,0.131278443610492
1948,55527,66,0.118861094602626,0.123801433880135
1949,53598,75,0.139930594425165,0.136324314088152
1950,57930,87,0.150181253236665,0.143330590321208
1951,63626,89,0.139879923301795,0.143527033418739
1952,69741,98,0.140519923717756,0.145055507479301
1953,72367,112,0.154766675418354,0.136940373431413
1954,71840,83,0.115534521158129,0.138429298132956
1955,71041,103,0.144986697822384,0.131065829627318
1956,84416,112,0.132676269901441,0.129102360401827
1957,87556,96,0.109644113481657,0.12260727629694
1958,89242,112,0.125501445507721,0.11563117109362
1959,83223,93,0.111747954291482,0.120591436731803
1960,92351,115,0.124524910396206,0.113039874339259
1961,100149,103,0.102846758330088,0.104413352510401
1962,111799,96,0.0858683888049088,0.0904328062001304
1963,119879,99,0.0825832714653943,0.0900794277883841
1964,111999,114,0.101786623094849,0.095154076180229
1965,111779,113,0.101092333980444,0.100580298409701
1966,130485,129,0.0988619381538108,0.098213631942587
1967,137295,130,0.0946866236935067,0.100083315203306
1968,149014,159,0.106701383762599,0.102048810104845
1969,142232,149,0.104758422858428,0.103222557840161
1970,155792,153,0.0982078668994557,0.10091034733625
1971,162382,162,0.0997647522508652,0.0976504574860357
1972,182146,173,0.0949787533077861,0.09548341409532
1973,201730,185,0.0917067367273088,0.0910031942425093
1974,193457,167,0.086324092692433,0.0851588248438567
1975,192393,149,0.0774456451118284,0.0766230921552335
1976,220879,146,0.0660995386614391,0.0683657819855556
1977,229074,141,0.0615521621833993,0.060907575615131
1978,256033,141,0.0550710260005546,0.0572181241739151
1979,239864,132,0.0550311843377914,0.053513321626542
1980,265674,134,0.0504377545412799,0.0497896356619774
1981,266515,117,0.0438999681068608,0.0451091028381252
1982,287878,118,0.040989585866235,0.040738931256592
1983,308086,115,0.0373272397966802,0.0417894228579437
1984,299672,141,0.0470514429109159,0.0432976353007815
1985,285625,130,0.0455142231947484,0.0439927834366207
1986,299396,118,0.0394126842041978,0.0403239786525665
1987,288528,104,0.0360450285587534,0.0371343183524666
1988,297675,107,0.0359452422944486,0.0344901933066269
1989,285893,90,0.0314803090666788,0.0315157124771603
1990,258097,70,0.0271215860703534,0.0277734767691034
1991,214414,53,0.0247185351702781,0.0233694635929332
1992,197063,36,0.018268269538168,0.0216839234237797
1993,190347,42,0.022064965562893,0.0188801472781198
1994,190100,31,0.0163072067332983,0.0169613243997719
1995,175834,22,0.0125118009031245,0.015503233703869
1996,163928,29,0.0176906934751842,0.0167519901047125
1997,134640,27,0.0200534759358289,0.0167063703686665
1998,105051,13,0.0123749416949862,0.0150663314074494
1999,78305,10,0.0127705765915331,0.0151200660623544
2000,49469,10,0.0202146799005438,0.0164926282460384
