year,total_people,name_count,share_pct,share_pct_smoothed
1930,5396,29,0.537435137138621,0.533092981655894
1931,7565,40,0.528750826173166,0.485026951221678
1932,9257,36,0.388894890353246,0.474622677497836
1933,9482,48,0.506222315967096,0.531142364661178
1934,9881,69,0.698309887663192,0.596028860096038
1935,11310,66,0.583554376657825,0.596830538102713
1936,15532,79,0.508627349987123,0.524869213269428
1937,17412,84,0.482425913163336,0.552206508975894
1938,18781,125,0.665566263777222,0.547671484314326
1939,18181,90,0.49502227600242,0.567531319944614
1940,21033,114,0.542005420054201,0.528692472564084
1941,26045,143,0.549049721635631,0.504309202132859
1942,30815,130,0.421872464708746,0.512978344515316
1943,33626,191,0.56801284720157,0.536041111182882
1944,34291,212,0.618238021638331,0.604994356371837
1945,34832,219,0.628732200275609,0.610818692257496
1946,40650,238,0.585485854858549,0.594551805674783
1947,47064,268,0.569437361890192,0.589079315506614
1948,55527,340,0.612314729771102,0.577381921022315
1949,53598,295,0.550393671405649,0.595291430347944
1950,57930,361,0.623165889867081,0.592362140453791
1951,63626,384,0.603526860088643,0.597213399457336
1952,69741,394,0.564947448416283,0.59584700339278
1953,72367,448,0.619066701673415,0.594188829539922
1954,71840,430,0.598552338530067,0.626402942127764
1955,71041,470,0.661589786179812,0.630118135580574
1956,84416,532,0.630212282031842,0.640371198183028
1957,87556,551,0.62931152633743,0.644324509784222
1958,89242,601,0.673449720983394,0.653343824366585
1959,83223,547,0.657270225778931,0.664830620146497
1960,92351,613,0.663771913677167,0.681987336283567
1961,100149,726,0.724919869394602,0.684425777975476
1962,111799,743,0.664585550854659,0.695625089393086
1963,119879,836,0.697369847929996,0.685534819383752
1964,111999,778,0.694649059366602,0.703466904751657
1965,111779,803,0.718381806958373,0.704753630921599
1966,130485,915,0.701230026439821,0.727158324936342
1967,137295,1046,0.761863141410831,0.736667618062949
1968,149014,1113,0.746909686338197,0.756734951432401
1969,142232,1083,0.761432026548175,0.757393559219972
1970,155792,1190,0.763838964773544,0.774052448573535
1971,162382,1294,0.796886354398887,0.793465816773324
1972,182146,1493,0.819672131147541,0.823556805778815
1973,201730,1723,0.854111931790016,0.846881121668228
1974,193457,1677,0.866859302067126,0.856931417455377
1975,192393,1635,0.84982301850899,0.867260769148918
1976,220879,1955,0.88509998687064,0.877919729773397
1977,229074,2059,0.898836183940561,0.885623506372621
1978,256033,2235,0.872934348306664,0.892010982538644
1979,239864,2169,0.904262415368709,0.905941081918305
1980,265674,2499,0.940626482079541,0.91288240749854
1981,266515,2382,0.893758325047371,0.917841388257157
1982,287878,2646,0.919139357644558,0.914385805121325
1983,308086,2866,0.930259732672046,0.915237464286906
1984,299672,2686,0.896313302544115,0.905867160535219
1985,285625,2545,0.891028446389497,0.900171200532325
1986,299396,2734,0.913171852663362,0.89750076697943
1987,288528,2563,0.888302001885432,0.903170381179488
1988,297675,2703,0.90803728898967,0.893062356529839
1989,285893,2524,0.882847778714414,0.873472716742441
1990,258097,2141,0.829533082523238,0.823109234131804
1991,214414,1623,0.75694684115776,0.780691949952297
1992,197063,1489,0.755595926175893,0.750397919122548
1993,190347,1406,0.738650990033991,0.723928351344028
1994,190100,1288,0.677538137822199,0.676232884628807
1995,175834,1077,0.612509526030233,0.621156714004525
1996,163928,940,0.573422478161144,0.566631721737787
1997,134640,692,0.513963161021985,0.503345831332168
1998,105051,444,0.422651854813376,0.440762142966554
1999,78305,302,0.3856714130643,0.379948006082198
2000,49469,164,0.331520750368918,0.358596081716609
