year,total_people,name_count,share_pct,share_pct_smoothed
1969,142232,6,0.00421845998087631,0.00395672540249122
1971,162382,6,0.00369499082410612,0.00483385747390249
1972,182146,12,0.00658812161672504,0.00458436569125212
1973,201730,7,0.0034699846329252,0.00593725575664288
1974,193457,15,0.00775366102027841,0.00703308827617914
1975,192393,19,0.00987561917533382,0.00995105582743891
1976,220879,27,0.0122238872867045,0.0102767698695399
1977,229074,20,0.00873080314658145,0.011541601090101
1978,256033,35,0.0136701128370171,0.0130256774831987
1979,239864,40,0.0166761164659974,0.0183962351401204
1980,265674,66,0.0248424761173468,0.0213437989135696
1981,266515,60,0.0225128041573645,0.0256272256244235
1982,287878,85,0.0295263965985591,0.0307625675991871
1983,308086,124,0.0402485020416377,0.0406106047337367
1984,299672,156,0.0520569155610134,0.0538756935407816
1985,285625,198,0.0693216630196937,0.0764208171482467
1986,299396,323,0.107883872864033,0.0925719038908527
1987,288528,290,0.100510175788832,0.104178156751201
1988,297675,310,0.104140421600739,0.108325111422218
1989,285893,344,0.120324736877083,0.127902537944585
1990,258097,411,0.159242455355932,0.152731195965826
1991,214414,383,0.178626395664462,0.197536573563838
1992,197063,502,0.25474086967112,0.236568230398224
1993,190347,526,0.276337425859089,0.271713105348576
1994,190100,540,0.284061020515518,0.286514743867952
1995,175834,526,0.29914578522925,0.295462896824883
1996,163928,497,0.303181884729881,0.304014154989348
1997,134640,417,0.309714795008913,0.30742340737115
1998,105051,325,0.309373542374656,0.316189737815041
1999,78305,258,0.329480876061554,0.328848970908521
2000,49469,172,0.347692494289353,0.338586685175454
