year,total_people,name_count,share_pct,share_pct_smoothed
1956,84416,7,0.00829226686884003,0.0101540879662201
1959,83223,10,0.0120159090636002,0.00893504259306627
1960,92351,6,0.00649695184675856,0.00949932769277616
1961,100149,10,0.00998512216796973,0.00787925769393467
1962,111799,8,0.00715569906707574,0.00766001414992344
1963,119879,7,0.00583922121472485,0.00671261373357912
1964,111999,8,0.00714292091893678,0.00730945545990619
1965,111779,10,0.00894622424605695,0.00791762043364935
1966,130485,10,0.00766371613595432,0.00772172272539237
1967,137295,9,0.00655522779416585,0.00764765214633732
1968,149014,13,0.00872401250889178,0.00837410453058968
1969,142232,14,0.0098430732887114,0.0089705150255473
1970,155792,13,0.00834445927903872,0.0101680562160346
1971,162382,20,0.0123166360803537,0.0114621162425232
1972,182146,25,0.0137252533681772,0.0114896649952117
1973,201730,17,0.00842710553710405,0.0130701377166312
1974,193457,33,0.0170580542446125,0.0128264651795782
1975,192393,25,0.0129942357570182,0.0159030053608087
1976,220879,39,0.0176567260807954,0.0161830360961018
1977,229074,41,0.017898146450492,0.016668711557759
1978,256033,37,0.0144512621419895,0.0160639064117263
1979,239864,38,0.0158423106426975,0.0153674737409996
1980,265674,42,0.0158088484383116,0.0161785873996775
1981,266515,45,0.0168846031180234,0.0148346700652529
1982,287878,34,0.0118105586394236,0.0130272906539135
1983,308086,32,0.0103867102042936,0.0118483986368813
1984,299672,40,0.0133479270669265,0.0145636245316904
1985,285625,57,0.0199562363238512,0.0192288622232153
1986,299396,73,0.0243824232788681,0.0215957605245169
1987,288528,59,0.0204486219708313,0.0194228396682111
1988,297675,40,0.0134374737549341,0.0157259272587136
1989,285893,38,0.0132916860503755,0.0134299842801621
1990,258097,35,0.0135607930351767,0.0117491510981086
1991,214414,18,0.00839497420877368,0.00985584873939568
1992,197063,15,0.00761177897423667,0.0093633162034363
1993,190347,23,0.0120831954272986,0.00919518610158136
1994,190100,15,0.00789058390320884,0.00988066303976182
1995,175834,17,0.00966820978877805,0.00707297905653707
1996,163928,6,0.00366014347762432,0.00568065330706183
1997,134640,5,0.00371360665478313,0.00368687506620372
